시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울특별시,중구,의료,여자,85세이상,8 ,*,0 ,*,0 ,*,0 ,*,0 ,*
서울특별시,중구,감경,남자,65세미만,7 ,*,0 ,0 ,*,0 ,*,0 ,0 ,0 
서울특별시,중구,감경,남자,65-69세,18 ,*,0 ,*,6 ,*,*,*,0 ,0 
서울특별시,중구,감경,남자,70-74세,24 ,0 ,*,9 ,10 ,*,0 ,0 ,*,0 
서울특별시,중구,감경,남자,75-79세,35 ,*,*,9 ,13 ,*,*,*,0 ,0 
서울특별시,중구,감경,남자,80-84세,48 ,*,*,15 ,19 ,7 ,*,0 ,0 ,0 
서울특별시,중구,감경,남자,85세이상,43 ,*,*,14 ,17 ,7 ,0 ,0 ,0 ,0 
서울특별시,중구,감경,여자,65세미만,5 ,*,0 ,0 ,*,0 ,*,0 ,0 ,0 
서울특별시,중구,감경,여자,65-69세,15 ,*,*,*,*,*,*,*,0 ,0 
서울특별시,중구,감경,여자,70-74세,25 ,*,0 ,*,9 ,*,*,*,0 ,0 
서울특별시,중구,감경,여자,75-79세,43 ,*,0 ,7 ,10 ,6 ,7 ,*,*,0 
서울특별시,중구,감경,여자,80-84세,110 ,*,6 ,25 ,41 ,19 ,*,*,*,0 
서울특별시,중구,감경,여자,85세이상,199 ,12 ,19 ,48 ,83 ,20 ,7 ,*,0 ,0 
서울특별시,용산구,일반,남자,65세미만,29 ,0 ,*,8 ,*,*,0 ,7 ,*,*
서울특별시,용산구,일반,남자,65-69세,61 ,*,*,12 ,18 ,*,*,7 ,*,0 
서울특별시,용산구,일반,남자,70-74세,71 ,*,*,19 ,23 ,*,*,*,*,*
서울특별시,용산구,일반,남자,75-79세,135 ,8 ,8 ,24 ,36 ,13 ,*,7 ,*,*
서울특별시,용산구,일반,남자,80-84세,199 ,10 ,11 ,49 ,59 ,9 ,*,*,8 ,*
서울특별시,용산구,일반,남자,85세이상,307 ,11 ,20 ,90 ,96 ,22 ,7 ,15 ,*,6 
서울특별시,용산구,일반,여자,65세미만,29 ,*,0 ,9 ,6 ,0 ,0 ,*,*,*
서울특별시,용산구,일반,여자,65-69세,58 ,*,*,5 ,15 ,*,*,7 ,*,0 
서울특별시,용산구,일반,여자,70-74세,123 ,*,*,23 ,20 ,*,*,13 ,6 ,5 
서울특별시,용산구,일반,여자,75-79세,230 ,5 ,9 ,32 ,54 ,20 ,*,17 ,7 ,5 
서울특별시,용산구,일반,여자,80-84세,474 ,16 ,30 ,91 ,155 ,35 ,15 ,30 ,13 ,5 
서울특별시,용산구,일반,여자,85세이상,843 ,43 ,102 ,246 ,257 ,57 ,11 ,22 ,7 ,*
서울특별시,용산구,기초,남자,65세미만,25 ,0 ,*,*,7 ,*,0 ,*,0 ,*
서울특별시,용산구,기초,남자,65-69세,45 ,*,0 ,5 ,8 ,*,0 ,*,*,*
서울특별시,용산구,기초,남자,70-74세,35 ,0 ,0 ,10 ,11 ,*,0 ,*,*,0 
서울특별시,용산구,기초,남자,75-79세,22 ,0 ,*,*,6 ,*,0 ,*,0 ,*
서울특별시,용산구,기초,남자,80-84세,25 ,0 ,*,5 ,6 ,*,0 ,*,*,0 
서울특별시,용산구,기초,남자,85세이상,28 ,0 ,*,9 ,7 ,*,0 ,*,*,*
서울특별시,용산구,기초,여자,65세미만,11 ,*,0 ,0 ,*,0 ,0 ,*,0 ,*
서울특별시,용산구,기초,여자,65-69세,37 ,0 ,*,*,7 ,*,0 ,6 ,*,*
서울특별시,용산구,기초,여자,70-74세,41 ,0 ,0 ,8 ,11 ,0 ,*,*,*,*
서울특별시,용산구,기초,여자,75-79세,45 ,0 ,*,5 ,15 ,6 ,*,*,*,*
서울특별시,용산구,기초,여자,80-84세,75 ,*,*,17 ,27 ,7 ,0 ,5 ,*,*
서울특별시,용산구,기초,여자,85세이상,123 ,*,8 ,35 ,45 ,*,*,5 ,*,*
서울특별시,용산구,의료,남자,65세미만,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,용산구,의료,남자,65-69세,*,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,*
